epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,3987.71,0.75326,0.30261,1.87262,1.16067,0.33275,0.53344,0.39207,0.24807,0.32349,0.52154,0.38813,0.24471,1.00313,0.2118,2.27814,1.33017,0.000225068,0.000225068,0.000225068
40,4086.54,0.73985,0.26355,1.89399,1.15797,0.33447,0.4708,0.39402,0.26843,0.33447,0.4708,0.39402,0.257,0.98908,0.2097,2.30977,1.30856,0.00020707,0.00020707,0.00020707
41,4182.89,0.69614,0.21214,2.37395,1.19943,0.3339,0.47481,0.39558,0.25653,0.3339,0.47481,0.39494,0.25551,0.95196,0.20623,2.4156,1.29579,0.000189072,0.000189072,0.000189072
42,4282,0.71026,0.19593,2.48054,1.22465,0.32554,0.49168,0.37933,0.25103,0.32554,0.49168,0.37734,0.24748,1.05955,0.21011,2.4838,1.39757,0.000171074,0.000171074,0.000171074
43,4380.77,0.65855,0.21389,2.2334,1.18112,0.3324,0.44499,0.36792,0.23671,0.3324,0.44499,0.36927,0.23619,1.12035,0.2101,2.4707,1.46504,0.000153076,0.000153076,0.000153076
44,4478.35,0.61739,0.172,2.12664,1.18441,0.34456,0.39566,0.38686,0.23575,0.34456,0.39566,0.38805,0.23274,1.17598,0.2073,2.42981,1.52316,0.000135077,0.000135077,0.000135077
45,4575.36,0.62077,0.18175,2.11987,1.20776,0.29168,0.50592,0.40595,0.26619,0.29168,0.50592,0.40438,0.26694,1.15622,0.2035,2.39134,1.50679,0.000117079,0.000117079,0.000117079
46,4677.57,0.61966,0.25285,2.10785,1.16421,0.45219,0.41878,0.43286,0.29112,0.45219,0.41878,0.43128,0.29292,1.04831,0.20083,2.27022,1.4044,9.9081e-05,9.9081e-05,9.9081e-05
47,4779.37,0.60023,0.18031,2.03669,1.14302,0.44312,0.42771,0.44769,0.31673,0.44312,0.42771,0.44673,0.31414,0.87684,0.19583,2.29511,1.26302,8.10828e-05,8.10828e-05,8.10828e-05
48,4881.9,0.58922,0.18272,1.95159,1.12833,0.35675,0.52045,0.44497,0.3301,0.35675,0.52045,0.44497,0.32357,0.81813,0.19923,2.17073,1.17589,6.30846e-05,6.30846e-05,6.30846e-05
49,4984.27,0.62507,0.21103,1.99347,1.1281,0.31635,0.52045,0.43734,0.33078,0.31635,0.52045,0.43734,0.31951,0.80307,0.19929,2.14816,1.1709,4.50864e-05,4.50864e-05,4.50864e-05
50,5087.81,0.56328,0.18372,1.92377,1.10967,0.32759,0.55335,0.4441,0.33126,0.32785,0.55197,0.44044,0.32203,0.81376,0.19888,2.12663,1.1745,2.70882e-05,2.70882e-05,2.70882e-05
